20180101	1	0.519199367
20180101	2	0.505509762
20180101	3	0.505088044
20180101	4	0.50035183
20180101	5	0.494739741
20180101	6	0.504406808
20180101	7	0.519621085
20180101	8	0.524584378
20180101	9	0.542685799
20180101	10	0.559619387
20180101	11	0.570389408
20180101	12	0.573925349
20180101	13	0.572530436
20180101	14	0.569091815
20180101	15	0.569902811
20180101	16	0.581873105
20180101	17	0.620703574
20180101	18	0.658982565
20180101	19	0.654668068
20180101	20	0.641919218
20180101	21	0.620963092
20180101	22	0.589626223
20180101	23	0.549855
20180101	24	0.5205294
20180102	1	0.511186731
20180102	2	0.501844062
20180102	3	0.491917476
20180102	4	0.49117136
20180102	5	0.50216846
20180102	6	0.534154126
20180102	7	0.581937985
20180102	8	0.617427151
20180102	9	0.623298759
20180102	10	0.61960062
20180102	11	0.613274854
20180102	12	0.605489297
20180102	13	0.59754154
20180102	14	0.596925183
20180102	15	0.602083115
20180102	16	0.605716375
20180102	17	0.634782457
20180102	18	0.669201109
20180102	19	0.669525507
20180102	20	0.657425453
20180102	21	0.635852971
20180102	22	0.600461124
20180102	23	0.559554507
20180102	24	0.529904509
20180103	1	0.504504128
20180103	2	0.491398439
20180103	3	0.486889304
20180103	4	0.485105113
20180103	5	0.498178362
20180103	6	0.514171195
20180103	7	0.570940885
20180103	8	0.604483662
20180103	9	0.60305631
20180103	10	0.59011282
20180103	11	0.577688368
20180103	12	0.564712439
20180103	13	0.553715339
20180103	14	0.552450186
20180103	15	0.554169497
20180103	16	0.562603851
20180103	17	0.59381096
20180103	18	0.630824798
20180103	19	0.633841702
20180103	20	0.624077315
20180103	21	0.607565445
20180103	22	0.578953521
20180103	23	0.541388206
20180103	24	0.508786184
20180104	1	0.494999259
20180104	2	0.492631152
20180104	3	0.482866766
20180104	4	0.48023914
20180104	5	0.48747322
20180104	6	0.499313756
20180104	7	0.512841162
20180104	8	0.534413644
20180104	9	0.560754781
20180104	10	0.586025403
20180104	11	0.611393344
20180104	12	0.617589351
20180104	13	0.606494931
20180104	14	0.599942087
20180104	15	0.589918181
20180104	16	0.585344166
20180104	17	0.605781255
20180104	18	0.630954558
20180104	19	0.62141725
20180104	20	0.600882842
20180104	21	0.577947887
20180104	22	0.548881805
20180104	23	0.525525133
20180104	24	0.49847032
20180105	1	0.483710201
20180105	2	0.47109111
20180105	3	0.466776613
20180105	4	0.469014961
20180105	5	0.479071306
20180105	6	0.491106481
20180105	7	0.525654892
20180105	8	0.561403577
20180105	9	0.583170698
20180105	10	0.592351168
20180105	11	0.594946354
20180105	12	0.597703739
20180105	13	0.597087382
20180105	14	0.597768619
20180105	15	0.599942087
20180105	16	0.608116922
20180105	17	0.636826166
20180105	18	0.670304063
20180105	19	0.668487433
20180105	20	0.654797828
20180105	21	0.637377643
20180105	22	0.61226922
20180105	23	0.580672832
20180105	24	0.547551773
20180106	1	0.536781751
20180106	2	0.535516598
20180106	3	0.528185198
20180106	4	0.525590012
20180106	5	0.528866435
20180106	6	0.533570209
20180106	7	0.545280985
20180106	8	0.562247012
20180106	9	0.585019768
20180106	10	0.598352535
20180106	11	0.602894111
20180106	12	0.601888476
20180106	13	0.596114188
20180106	14	0.590534538
20180106	15	0.589853302
20180106	16	0.598871573
20180106	17	0.630143562
20180106	18	0.662226547
20180106	19	0.659534042
20180106	20	0.645001001
20180106	21	0.63056528
20180106	22	0.607857404
20180106	23	0.5791806
20180106	24	0.550503797
20180107	1	0.529255712
